Institut	67068,0.05555555555555555;67389,0.04;67556,0.022222222222222223;67939,0.04;68388,0.047619047619047616;68391,0.058823529411764705;68887,0.05;69183,0.03225806451612903;70167,0.04878048780487805;70744,0.038461538461538464;70922,0.047619047619047616;71612,0.027777777777777776;71835,0.038461538461538464;73436,0.038461538461538464;73437,0.125;75064,0.041666666666666664
Langevin	67068,0.05555555555555555
Ondes	67068,0.05555555555555555
et	67068,0.05555555555555555;67387,0.024390243902439025;67555,0.05555555555555555;67556,0.08888888888888889;67803,0.07142857142857142;68387,0.07142857142857142;68390,0.038461538461538464;68645,0.038461538461538464;69183,0.06451612903225806;69184,0.041666666666666664;69534,0.05263157894736842;70167,0.024390243902439025;70422,0.02702702702702703;70744,0.038461538461538464;70921,0.15;70923,0.05263157894736842;71357,0.11538461538461539;71612,0.05555555555555555;71843,0.07142857142857142;72119,0.02631578947368421;72632,0.05;72937,0.045454545454545456;73436,0.038461538461538464;73882,0.16216216216216217;73884,0.05555555555555555;74173,0.043478260869565216;75460,0.05;75792,0.2222222222222222;75794,0.07692307692307693
Images	67068,0.05555555555555555
Mathias	67068,0.05555555555555555
Fink	67068,0.05555555555555555
email	67068,0.05555555555555555;67383,0.125;67385,0.05555555555555555;67386,0.05555555555555555;67387,0.04878048780487805;67388,0.125;67389,0.04;67390,0.05555555555555555;67391,0.05;67553,0.047619047619047616;67554,0.1111111111111111;67555,0.05555555555555555;67557,0.043478260869565216;67795,0.125;67798,0.1111111111111111;67800,0.125;67801,0.05555555555555555;67802,0.0625;67937,0.058823529411764705;67939,0.04;67941,0.05555555555555555;67942,0.0625;67943,0.0625;67944,0.05263157894736842;67945,0.04;67946,0.05263157894736842;68273,0.07692307692307693;68274,0.16666666666666666;68276,0.05263157894736842;68277,0.05263157894736842;68278,0.058823529411764705;68279,0.1111111111111111;68280,0.0625;68281,0.05555555555555555;68383,0.03125;68384,0.037037037037037035;68385,0.0625;68387,0.07142857142857142;68388,0.047619047619047616;68389,0.058823529411764705;68390,0.038461538461538464;68391,0.058823529411764705;68392,0.05263157894736842;68393,0.05555555555555555;68638,0.041666666666666664;68639,0.058823529411764705;68640,0.0625;68641,0.058823529411764705;68642,0.07692307692307693;68643,0.08333333333333333;68644,0.06666666666666667;68645,0.038461538461538464;68881,0.10526315789473684;68882,0.05263157894736842;68883,0.05263157894736842;68884,0.09090909090909091;68885,0.125;68886,0.0625;68887,0.05;68888,0.05555555555555555;69178,0.0625;69180,0.1111111111111111;69182,0.034482758620689655;69183,0.03225806451612903;69184,0.041666666666666664;69185,0.058823529411764705;69534,0.05263157894736842;69536,0.04878048780487805;69537,0.058823529411764705;69538,0.05555555555555555;69539,0.0625;69540,0.047619047619047616;69812,0.1;69813,0.0625;69814,0.06666666666666667;69816,0.05263157894736842;69817,0.1;69819,0.05555555555555555;70161,0.045454545454545456;70162,0.125;70163,0.0625;70166,0.125;70167,0.04878048780487805;70168,0.0625;70420,0.1111111111111111;70421,0.0625;70422,0.05405405405405406;70423,0.041666666666666664;70424,0.0625;70425,0.0625;70426,0.05555555555555555;70428,0.14285714285714285;70429,0.05263157894736842;70743,0.05;70744,0.038461538461538464;70745,0.1;70746,0.1;70747,0.125;70748,0.03125;70749,0.125;70751,0.07142857142857142;70752,0.1;70914,0.125;70915,0.037037037037037035;70916,0.045454545454545456;70917,0.058823529411764705;70918,0.06666666666666667;70919,0.0625;70921,0.05;70922,0.047619047619047616;70923,0.05263157894736842;71357,0.038461538461538464;71358,0.0625;71359,0.14285714285714285;71361,0.0625;71362,0.05555555555555555;71612,0.05555555555555555;71614,0.05263157894736842;71616,0.0625;71618,0.05;71619,0.07142857142857142;71621,0.04878048780487805;71835,0.038461538461538464;71836,0.06451612903225806;71837,0.058823529411764705;71838,0.0625;71840,0.05263157894736842;71843,0.07142857142857142;72113,0.041666666666666664;72114,0.058823529411764705;72115,0.1111111111111111;72116,0.125;72117,0.041666666666666664;72119,0.05263157894736842;72392,0.06060606060606061;72394,0.1111111111111111;72395,0.038461538461538464;72396,0.125;72397,0.05263157894736842;72398,0.058823529411764705;72399,0.05555555555555555;72629,0.08333333333333333;72630,0.047619047619047616;72631,0.1111111111111111;72634,0.125;72635,0.0625;72636,0.08333333333333333;72637,0.125;72932,0.1111111111111111;72934,0.023809523809523808;72936,0.041666666666666664;72937,0.045454545454545456;72938,0.08333333333333333;72939,0.03571428571428571;72940,0.047619047619047616;73182,0.041666666666666664;73183,0.045454545454545456;73184,0.07142857142857142;73185,0.07692307692307693;73186,0.05263157894736842;73188,0.05;73189,0.058823529411764705;73190,0.047619047619047616;73430,0.06896551724137931;73431,0.045454545454545456;73432,0.07692307692307693;73433,0.05263157894736842;73434,0.0625;73436,0.038461538461538464;73683,0.045454545454545456;73684,0.125;73687,0.058823529411764705;73688,0.047619047619047616;73689,0.047619047619047616;73875,0.05;73876,0.045454545454545456;73877,0.1;73879,0.07142857142857142;73881,0.0625;73882,0.02702702702702703;73883,0.058823529411764705;74167,0.014285714285714285;74168,0.07142857142857142;74169,0.1111111111111111;74170,0.047619047619047616;74172,0.0625;74173,0.043478260869565216;74174,0.07142857142857142;74176,0.043478260869565216;74449,0.08333333333333333;74450,0.09090909090909091;74452,0.058823529411764705;74455,0.1111111111111111;74744,0.047619047619047616;74745,0.047619047619047616;74747,0.08333333333333333;74749,0.06666666666666667;74750,0.0625;74751,0.043478260869565216;74752,0.05263157894736842;75063,0.09090909090909091;75064,0.041666666666666664;75065,0.07692307692307693;75067,0.05263157894736842;75068,0.05263157894736842;75069,0.11764705882352941;75070,0.058823529411764705;75457,0.0625;75458,0.02857142857142857;75459,0.07142857142857142;75460,0.05;75462,0.1;75463,0.0625;75788,0.058823529411764705;75789,0.05;75790,0.09090909090909091;75791,0.047619047619047616;75792,0.05555555555555555;75793,0.125;76206,0.1111111111111111;76207,0.06666666666666667;76208,0.05263157894736842;76209,0.0625;76210,0.05555555555555555;76211,0.05;76212,0.08333333333333333;76213,0.07692307692307693;76507,0.08333333333333333;76508,0.08333333333333333;76511,0.1111111111111111;76512,0.05555555555555555;76513,0.05
mathias	67068,0.05555555555555555
fink	67068,0.05555555555555555
espci	67068,0.1111111111111111;68280,0.0625;70747,0.125;74750,0.0625
