L	67794,0.125;67940,0.05405405405405406;70163,0.09090909090909091;70421,0.1;71612,0.07407407407407407;72940,0.0625;74750,0.04;75792,0.05555555555555555
ouvrage	67794,0.125;67938,0.0625;74457,0.125
de	67794,0.125;67800,0.15151515151515152;67937,0.057971014492753624;67938,0.0625;67940,0.05405405405405406;67941,0.125;68276,0.125;68280,0.11320754716981132;68281,0.1;68390,0.09302325581395349;68638,0.10344827586206896;68881,0.058823529411764705;68883,0.1111111111111111;68886,0.12345679012345678;69178,0.17647058823529413;69179,0.15384615384615385;69541,0.18181818181818182;69811,0.05405405405405406;69816,0.08536585365853659;70161,0.08108108108108109;70165,0.125;70423,0.14285714285714285;70425,0.2608695652173913;70744,0.045454545454545456;70747,0.07692307692307693;70914,0.11764705882352941;70916,0.09859154929577464;71612,0.1111111111111111;71614,0.16666666666666666;71835,0.09090909090909091;71836,0.13636363636363635;71837,0.09090909090909091;72113,0.2;72114,0.2222222222222222;72119,0.05555555555555555;72392,0.08;72397,0.18181818181818182;72629,0.4;72635,0.038461538461538464;72636,0.16666666666666666;72933,0.13793103448275862;72939,0.07142857142857142;73182,0.375;73183,0.125;73185,0.125;73430,0.2;73431,0.12871287128712872;73683,0.15555555555555556;73876,0.12195121951219512;74167,0.1111111111111111;74168,0.11764705882352941;74450,0.05555555555555555;74454,0.06666666666666667;74455,0.07142857142857142;74750,0.12;75063,0.09523809523809523;75064,0.21428571428571427;75070,0.08;75457,0.1;75458,0.125;75788,0.07894736842105263;75789,0.16216216216216217;75791,0.09090909090909091;75792,0.05555555555555555;76213,0.09523809523809523
Marion	67794,0.125
Guillou	67794,0.125
et	67794,0.125;67937,0.057971014492753624;67940,0.05405405405405406;68276,0.125;68383,0.09090909090909091;68638,0.034482758620689655;68886,0.012345679012345678;69183,0.058823529411764705;70161,0.05405405405405406;70420,0.07692307692307693;70422,0.08333333333333333;70744,0.09090909090909091;70747,0.07692307692307693;70914,0.029411764705882353;70916,0.028169014084507043;71612,0.037037037037037035;72113,0.06666666666666667;72114,0.1111111111111111;72392,0.04;72635,0.038461538461538464;72939,0.07142857142857142;73431,0.12871287128712872;73684,0.08695652173913043;73876,0.07317073170731707;74167,0.044444444444444446;75063,0.023809523809523808;75070,0.08;75457,0.05;75458,0.009615384615384616;75788,0.07894736842105263;75789,0.02702702702702703
Gérard	67794,0.125;73182,0.125
Matheron	67794,0.125
Gilles	67795,0.16666666666666666;75458,0.009615384615384616
Trystram	67795,0.16666666666666666
Directeur	67795,0.16666666666666666;68638,0.034482758620689655;68881,0.058823529411764705;70161,0.05405405405405406;71835,0.09090909090909091;73430,0.1;73876,0.024390243902439025;75457,0.05
