Focus	67068,1;67383,1;67553,1;67554,1;67555,1;67794,1;67795,1;67937,1;67938,1;67939,1;68273,1;68274,1;68275,1;68276,1;68383,1;68638,1;68881,1;68882,1;69177,1;69178,1;69179,1;69533,1;69534,1;69535,1;69811,1;69812,1;69813,1;70161,1;70162,1;70420,1;70421,1;70422,1;70914,1;70915,1;70916,1;71357,1;71358,1;71359,1;71612,1;71614,1;71835,1;71836,1;71837,1;72113,1;72114,1;72115,1;72116,1;72392,1;72393,1;72394,1;72629,1;72630,1;72631,1;72932,1;72933,1;73182,1;73183,1;73184,1;73185,1;73430,1;73431,1;73432,1;73683,1;73684,1;73685,1;73875,1;73876,1;73877,1;74167,1;74168,1;74169,1;74449,1;74450,1;74744,1;74745,1;74746,1;75063,1;75064,1;75065,1;75457,1;75458,1;75459,1;75788,1;75789,1;75790,1;76206,1;76207,1;76507,1;76508,1
Actualité	67071,1;67385,1;67386,1;67387,1;67556,1;67557,1;67796,1;67797,1;67940,1;67941,1;67942,1;68277,1;68278,1;68384,1;68385,1;68386,1;68639,1;68640,1;68641,1;68642,1;68883,1;68884,1;69180,1;69181,1;69536,1;69537,1;69814,1;69815,1;69816,1;70163,1;70164,1;70165,1;70423,1;70424,1;70425,1;70743,1;70744,1;70917,1;70918,1;70919,1;70920,1;71360,1;71615,1;71616,1;71617,1;71838,1;71839,1;71840,1;71841,1;72632,1;72633,1;72934,1;72935,1;73186,1;73187,1;73686,1;73687,1;73880,1;74170,1;74171,1;74451,1;74452,1;74453,1;74454,1;74747,1;75791,1;76208,1
Innovation	67071,1;67385,1;67386,1;67387,1;67556,1;67557,1;67796,1;67797,1;67940,1;67941,1;67942,1;68277,1;68278,1;68384,1;68385,1;68386,1;68639,1;68640,1;68641,1;68642,1;68883,1;68884,1;69180,1;69181,1;69536,1;69537,1;69814,1;69815,1;69816,1;70163,1;70164,1;70165,1;70423,1;70424,1;70425,1;70743,1;70744,1;70917,1;70918,1;70919,1;70920,1;71360,1;71615,1;71616,1;71617,1;71838,1;71839,1;71840,1;71841,1;72632,1;72633,1;72934,1;72935,1;73186,1;73187,1;73433,1;73686,1;73687,1;73880,1;74170,1;74171,1;74451,1;74452,1;74453,1;74454,1;74747,1;75791,1;76208,1
Du	67388,1;67799,1;69818,1;72396,1;72634,1;73879,1;74172,1;74749,1;75069,1;75462,1;75793,1;76209,1
côté	67388,1;67799,1;69818,1;72396,1;72634,1;73879,1;74172,1;74749,1;75069,1;75462,1;75793,1;76209,1
des	67388,1;67389,1;67390,1;67391,1;67558,1;67798,1;67799,1;67800,1;67801,1;67802,1;67943,1;68279,1;68280,1;68387,1;68388,1;68389,1;68390,1;68391,1;68643,1;68644,1;68645,1;68646,1;68885,1;68886,1;68887,1;69182,1;69183,1;69184,1;69539,1;69540,1;69817,1;69818,1;69819,1;70166,1;70167,1;70745,1;70746,1;70747,1;70921,1;70922,1;71361,1;71618,1;71842,1;71843,1;72117,1;72118,1;72119,1;72395,1;72396,1;72397,1;72634,1;72635,1;73188,1;73189,1;73434,1;73435,1;73436,1;73688,1;73878,1;73879,1;74172,1;74173,1;74455,1;74748,1;74749,1;74750,1;75066,1;75067,1;75068,1;75069,1;75070,1;75461,1;75462,1;75463,1;75792,1;75793,1;75794,1;76209,1;76210,1;76511,1;76512,1
pôles	67388,1;67799,1;72396,1;72634,1;73879,1;74172,1;74749,1;75069,1;75462,1;75793,1;76209,1
En	67389,1;67390,1;67391,1;67558,1;67800,1;67801,1;67802,1;68280,1;68388,1;68389,1;68390,1;68391,1;68644,1;68645,1;68646,1;68886,1;68887,1;69183,1;69184,1;69539,1;69540,1;69819,1;70167,1;70746,1;70747,1;70922,1;71618,1;71843,1;72119,1;72397,1;72635,1;73188,1;73189,1;73436,1;73688,1;74173,1;74750,1;75070,1;75463,1;75794,1;76210,1
direct	67389,1;67390,1;67391,1;67558,1;67800,1;67801,1;67802,1;68280,1;68388,1;68389,1;68390,1;68391,1;68644,1;68645,1;68646,1;68886,1;68887,1;69183,1;69184,1;69539,1;69540,1;69819,1;70167,1;70746,1;70747,1;70922,1;71618,1;71843,1;72119,1;72397,1;72635,1;73188,1;73189,1;73436,1;73688,1;74173,1;74750,1;75070,1;75463,1;75794,1;76210,1
laboratoires	67389,1;67390,1;67391,1;67558,1;67800,1;67801,1;67802,1;68280,1;68388,1;68389,1;68390,1;68391,1;68644,1;68645,1;68646,1;68886,1;68887,1;69183,1;69184,1;69539,1;69540,1;69819,1;70167,1;70746,1;70747,1;70922,1;71618,1;71843,1;72119,1;72635,1;73188,1;73189,1;73436,1;73688,1;74173,1;74750,1;75070,1;75794,1;76210,1
